frame_id,t_cam,t_pp,t_det_s,t_det_e,t_dec,t_aud,ran_infer
0,0,0.01,0.01,0.18,0.18,0,1
5,0.168253,0.19,0.19,0.36,0.36,0,1
10,0.336392,0.37,0.37,0.54,0.54,0,1
16,0.53631,0.55,0.55,0.72,0.72,0.72,1
21,0.704619,0.74,0.74,0.91,0.91,0.91,1
27,0.906494,0.92,0.92,1.09,1.09,0,1
32,1.0727,1.1,1.1,1.27,1.27,0,1
37,1.23801,1.28,1.28,1.45,1.45,0,1
43,1.43696,1.46,1.46,1.63,1.63,0,1
48,1.60216,1.64,1.64,1.81,1.81,0,1
54,1.80187,1.82,1.82,1.99,2,0,1
59,1.9695,2.01,2.01,2.18,2.18,0,1
65,2.17052,2.2,2.2,2.37,2.37,0,1
71,2.36939,2.39,2.39,2.56,2.56,0,1
76,2.53687,2.57,2.57,2.74,2.74,0,1
82,2.73694,2.75,2.75,2.92,2.92,0,1
87,2.90482,2.93,2.93,3.1,3.1,0,1
92,3.06936,3.11,3.11,3.28,3.29,0,1
98,3.27038,3.3,3.3,3.47,3.47,0,1
104,3.46977,3.48,3.48,3.745,3.745,0,1
112,3.73677,3.755,3.755,3.925,3.935,0,1
118,3.93408,3.945,3.945,4.115,4.115,0,1
123,4.09916,4.125,4.125,4.295,4.295,0,1
128,4.26456,4.315,4.315,4.58,4.58,0,1
137,4.56379,4.59,4.59,4.76,4.76,4.76,1
142,4.73025,4.77,4.77,4.94,4.94,0,1
148,4.93113,4.95,4.95,5.12,5.12,5.12,1
153,5.09623,5.13,5.13,5.3,5.3,5.3,1
159,5.29372,5.31,5.31,5.48,5.48,0,1
164,5.46162,5.49,5.49,5.66,5.66,0,1
169,5.62934,5.67,5.67,5.84,5.84,0,1
175,5.82728,5.85,5.85,6.02,6.02,0,1
180,5.99392,6.04,6.04,6.21,6.21,6.21,1
186,6.18977,6.22,6.22,6.39,6.39,0,1
191,6.35803,6.4,6.4,6.75,6.75,0,1
202,6.72625,6.76,6.76,6.93,6.93,0,1
208,6.924,6.94,6.94,7.11,7.11,7.11,1
213,7.09002,7.12,7.12,7.29,7.29,0,1
219,7.28909,7.3,7.3,7.565,7.565,0,1
227,7.55583,7.575,7.575,7.745,7.745,0,1
232,7.72151,7.755,7.755,7.925,7.925,0,1
238,7.92179,7.935,7.935,8.105,8.115,0,1
243,8.08887,8.125,8.125,8.295,8.295,0,1
249,8.28545,8.305,8.305,8.475,8.475,0,1
254,8.45225,8.485,8.485,8.655,8.655,8.655,1
260,8.65131,8.665,8.665,8.835,8.835,0,1
265,8.81659,8.845,8.845,9.015,9.025,0,1
271,9.01436,9.035,9.035,9.3,9.31,9.31,1
279,9.27797,9.32,9.32,9.49,9.49,9.49,1
285,9.47713,9.5,9.5,9.67,9.67,0,1
290,9.64223,9.68,9.68,9.85,9.85,0,1
296,9.84173,9.86,9.86,10.03,10.03,10.03,1
301,10.0077,10.04,10.04,10.21,10.21,0,1
307,10.2073,10.22,10.22,10.39,10.39,0,1
312,10.3746,10.4,10.4,10.57,10.57,10.57,1
317,10.5393,10.58,10.58,10.75,10.75,0,1
323,10.7379,10.76,10.76,10.93,10.93,0,1
328,10.9051,10.94,10.94,11.11,11.12,0,1
334,11.1046,11.13,11.13,11.3,11.3,11.3,1
339,11.27,11.31,11.31,11.48,11.48,11.48,1
345,11.4676,11.49,11.49,11.66,11.66,0,1
350,11.6357,11.67,11.67,11.84,11.85,11.85,1
356,11.8362,11.86,11.86,12.03,12.03,12.03,1
361,12.003,12.04,12.04,12.21,12.21,12.21,1
367,12.204,12.22,12.22,12.39,12.39,0,1
372,12.3724,12.4,12.4,12.665,12.665,0,1
380,12.6413,12.675,12.675,12.845,12.845,12.845,1
386,12.8402,12.855,12.855,13.025,13.025,0,1
391,13.0083,13.035,13.035,13.205,13.205,0,1
396,13.1725,13.215,13.215,13.385,13.395,13.395,1
402,13.3733,13.405,13.405,13.575,13.575,0,1
408,13.572,13.585,13.585,13.755,13.755,0,1
413,13.7378,13.775,13.775,13.945,13.945,13.945,1
419,13.9395,13.955,13.955,14.125,14.125,0,1
424,14.1064,14.145,14.145,14.315,14.315,0,1
430,14.3086,14.325,14.325,14.495,14.505,0,1
435,14.4769,14.525,14.525,14.695,14.695,0,1
441,14.6786,14.705,14.705,14.875,14.875,0,1
