frame_id,t_cam,t_pp,t_det_s,t_det_e,t_dec,t_aud,ran_infer
1,1392.29,1392.31,1392.31,1392.66,1392.66,0,1
9,1392.66,1392.66,1392.66,1392.92,1392.92,0,1
17,1392.92,1392.93,1392.93,1393.16,1393.16,0,1
25,1393.16,1393.18,1393.18,1393.39,1393.39,0,1
32,1393.39,1393.4,1393.4,1393.74,1393.74,0,1
41,1393.75,1393.76,1393.76,1394.02,1394.02,0,1
51,1394.02,1394.03,1394.03,1394.2,1394.2,0,1
56,1394.2,1394.21,1394.21,1394.36,1394.36,0,1
61,1394.36,1394.37,1394.37,1394.51,1394.51,0,1
66,1394.51,1394.52,1394.52,1394.76,1394.76,0,1
73,1394.76,1394.77,1394.77,1394.91,1394.91,0,1
78,1394.91,1394.92,1394.92,1395.05,1395.05,0,1
82,1395.05,1395.06,1395.06,1395.2,1395.21,0,1
86,1395.21,1395.21,1395.21,1395.35,1395.35,0,1
91,1395.35,1395.36,1395.36,1395.5,1395.51,0,1
96,1395.51,1395.52,1395.52,1395.71,1395.71,0,1
102,1395.71,1395.72,1395.72,1395.88,1395.88,0,1
106,1395.88,1395.88,1395.88,1396.02,1396.02,0,1
111,1396.02,1396.03,1396.03,1396.22,1396.22,0,1
117,1396.22,1396.23,1396.23,1396.39,1396.39,0,1
122,1396.39,1396.39,1396.39,1396.55,1396.55,0,1
127,1396.55,1396.56,1396.56,1396.7,1396.7,0,1
132,1396.7,1396.71,1396.71,1396.85,1396.85,0,1
136,1396.86,1396.87,1396.87,1397.03,1397.03,0,1
141,1397.03,1397.04,1397.04,1397.25,1397.25,0,1
148,1397.25,1397.25,1397.25,1397.38,1397.38,1397.38,1
152,1397.38,1397.39,1397.39,1397.62,1397.62,1397.62,1
158,1397.62,1397.63,1397.63,1397.86,1397.86,1397.86,1
166,1397.86,1397.87,1397.87,1398.08,1398.08,1398.08,1
172,1398.08,1398.09,1398.09,1398.26,1398.26,1398.26,1
178,1398.26,1398.27,1398.27,1398.42,1398.42,1398.42,1
183,1398.42,1398.42,1398.42,1398.57,1398.57,1398.57,1
188,1398.57,1398.58,1398.58,1398.75,1398.75,1398.75,1
193,1398.75,1398.75,1398.75,1398.92,1398.92,1398.92,1
198,1398.92,1398.92,1398.92,1399.11,1399.11,1399.11,1
203,1399.11,1399.12,1399.12,1399.3,1399.3,0,1
209,1399.3,1399.31,1399.31,1399.5,1399.5,1399.5,1
215,1399.5,1399.51,1399.51,1399.82,1399.82,0,1
225,1399.82,1399.83,1399.83,1399.98,1399.98,0,1
230,1399.98,1399.99,1399.99,1400.15,1400.15,0,1
234,1400.16,1400.16,1400.16,1400.34,1400.34,0,1
239,1400.35,1400.36,1400.36,1400.55,1400.55,0,1
246,1400.55,1400.55,1400.55,1400.71,1400.71,0,1
251,1400.71,1400.72,1400.72,1400.89,1400.89,0,1
256,1400.89,1400.89,1400.89,1401.08,1401.08,0,1
262,1401.08,1401.09,1401.09,1401.31,1401.31,0,1
266,1401.31,1401.32,1401.32,1401.52,1401.52,1401.52,1
275,1401.52,1401.53,1401.53,1401.86,1401.86,0,1
285,1401.86,1401.86,1401.86,1402,1402,1402,1
289,1402,1402.01,1402.01,1402.15,1402.15,1402.15,1
294,1402.15,1402.16,1402.16,1402.37,1402.37,1402.37,1
300,1402.37,1402.38,1402.38,1402.57,1402.57,1402.57,1
307,1402.57,1402.58,1402.58,1402.75,1402.75,1402.75,1
312,1402.75,1402.75,1402.75,1402.93,1402.93,1402.93,1
317,1402.93,1402.94,1402.94,1403.1,1403.1,1403.1,1
323,1403.1,1403.11,1403.11,1403.26,1403.26,1403.26,1
327,1403.26,1403.27,1403.27,1403.45,1403.45,1403.45,1
332,1403.45,1403.46,1403.46,1403.71,1403.72,1403.72,1
339,1403.72,1403.73,1403.73,1403.92,1403.92,1403.92,1
344,1403.92,1403.93,1403.93,1404.11,1404.11,1404.11,1
352,1404.11,1404.12,1404.12,1404.3,1404.3,0,1
359,1404.3,1404.31,1404.31,1404.59,1404.59,1404.59,1
367,1404.59,1404.6,1404.6,1404.77,1404.77,1404.77,1
373,1404.77,1404.77,1404.77,1404.96,1404.96,1404.96,1
378,1404.96,1404.97,1404.97,1405.12,1405.12,1405.12,1
383,1405.12,1405.12,1405.12,1405.31,1405.31,1405.31,1
389,1405.31,1405.32,1405.32,1405.51,1405.51,1405.51,1
394,1405.51,1405.52,1405.52,1405.74,1405.74,1405.74,1
402,1405.74,1405.75,1405.75,1406.03,1406.03,0,1
410,1406.03,1406.04,1406.04,1406.27,1406.27,0,1
417,1406.27,1406.28,1406.28,1406.43,1406.43,0,1
423,1406.43,1406.44,1406.44,1406.68,1406.68,0,1
430,1406.68,1406.69,1406.69,1406.86,1406.86,0,1
435,1406.86,1406.87,1406.87,1407.03,1407.03,0,1
440,1407.03,1407.04,1407.04,1407.22,1407.22,0,1
446,1407.22,1407.23,1407.23,1407.4,1407.4,0,1
452,1407.4,1407.41,1407.41,1407.58,1407.58,0,1
457,1407.59,1407.59,1407.59,1407.85,1407.85,0,1
464,1407.85,1407.86,1407.86,1408.06,1408.06,0,1
472,1408.06,1408.07,1408.07,1408.2,1408.2,0,1
475,1408.2,1408.21,1408.21,1408.37,1408.37,0,1
481,1408.37,1408.38,1408.38,1408.54,1408.54,0,1
486,1408.54,1408.55,1408.55,1408.7,1408.7,0,1
490,1408.7,1408.71,1408.71,1408.89,1408.89,0,1
495,1408.89,1408.89,1408.89,1409.08,1409.08,0,1
502,1409.08,1409.09,1409.09,1409.23,1409.23,0,1
507,1409.23,1409.24,1409.24,1409.4,1409.4,0,1
512,1409.4,1409.41,1409.41,1409.56,1409.56,0,1
516,1409.56,1409.57,1409.57,1409.69,1409.69,0,1
520,1409.7,1409.7,1409.7,1409.86,1409.86,0,1
525,1409.86,1409.87,1409.87,1410.09,1410.09,0,1
532,1410.09,1410.1,1410.1,1410.27,1410.27,0,1
538,1410.27,1410.28,1410.28,1410.44,1410.44,0,1
543,1410.44,1410.44,1410.44,1410.61,1410.61,0,1
548,1410.62,1410.62,1410.62,1410.79,1410.79,0,1
553,1410.79,1410.8,1410.8,1410.98,1410.98,0,1
559,1410.98,1410.99,1410.99,1411.24,1411.24,0,1
566,1411.24,1411.25,1411.25,1411.4,1411.4,0,1
571,1411.4,1411.4,1411.4,1411.56,1411.56,0,1
576,1411.56,1411.57,1411.57,1411.75,1411.75,0,1
582,1411.75,1411.76,1411.76,1411.91,1411.91,0,1
587,1411.91,1411.92,1411.92,1412.06,1412.06,0,1
591,1412.06,1412.06,1412.06,1412.3,1412.3,0,1
598,1412.3,1412.3,1412.3,1412.44,1412.44,0,1
603,1412.44,1412.45,1412.45,1412.6,1412.6,0,1
608,1412.61,1412.61,1412.61,1412.77,1412.77,0,1
612,1412.77,1412.78,1412.78,1412.99,1412.99,0,1
619,1412.99,1413,1413,1413.15,1413.15,1413.15,1
624,1413.15,1413.16,1413.16,1413.51,1413.51,1413.51,1
634,1413.51,1413.53,1413.53,1413.71,1413.71,1413.71,1
640,1413.71,1413.72,1413.72,1413.88,1413.88,1413.88,1
644,1413.88,1413.89,1413.89,1414.03,1414.03,1414.03,1
649,1414.03,1414.04,1414.04,1414.21,1414.21,1414.21,1
655,1414.21,1414.23,1414.23,1414.41,1414.41,1414.41,1
659,1414.41,1414.42,1414.42,1414.64,1414.64,1414.64,1
669,1414.64,1414.65,1414.65,1414.8,1414.8,0,1
674,1414.81,1414.81,1414.81,1414.96,1414.96,1414.96,1
679,1414.97,1414.97,1414.97,1415.12,1415.12,1415.12,1
683,1415.12,1415.14,1415.14,1415.32,1415.32,1415.32,1
689,1415.32,1415.34,1415.34,1415.61,1415.61,1415.61,1
695,1415.61,1415.61,1415.61,1415.78,1415.78,1415.78,1
700,1415.78,1415.79,1415.79,1415.96,1415.96,1415.96,1
706,1415.96,1415.97,1415.97,1416.12,1416.12,1416.12,1
711,1416.13,1416.13,1416.13,1416.33,1416.34,1416.34,1
718,1416.34,1416.35,1416.35,1416.55,1416.55,0,1
724,1416.55,1416.55,1416.55,1416.69,1416.69,0,1
728,1416.69,1416.7,1416.7,1416.86,1416.86,0,1
733,1416.86,1416.87,1416.87,1417.04,1417.04,0,1
739,1417.04,1417.05,1417.05,1417.21,1417.21,0,1
744,1417.21,1417.21,1417.21,1417.38,1417.38,1417.38,1
749,1417.38,1417.39,1417.39,1417.74,1417.74,0,1
758,1417.74,1417.75,1417.75,1417.94,1417.94,0,1
765,1417.94,1417.95,1417.95,1418.12,1418.12,1418.12,1
770,1418.12,1418.13,1418.13,1418.3,1418.3,1418.3,1
776,1418.3,1418.31,1418.31,1418.48,1418.48,1418.48,1
781,1418.48,1418.49,1418.49,1418.7,1418.7,0,1
788,1418.7,1418.72,1418.72,1418.91,1418.91,0,1
794,1418.91,1418.92,1418.92,1419.1,1419.1,0,1
800,1419.1,1419.11,1419.11,1419.27,1419.27,0,1
805,1419.28,1419.28,1419.28,1419.44,1419.44,0,1
810,1419.44,1419.45,1419.45,1419.64,1419.64,0,1
815,1419.64,1419.65,1419.65,1419.9,1419.9,0,1
824,1419.9,1419.91,1419.91,1420.07,1420.07,0,1
829,1420.07,1420.07,1420.07,1420.24,1420.24,0,1
834,1420.24,1420.25,1420.25,1420.4,1420.4,0,1
839,1420.4,1420.41,1420.41,1420.59,1420.59,0,1
844,1420.59,1420.6,1420.6,1420.76,1420.76,0,1
849,1420.76,1420.77,1420.77,1420.95,1420.95,0,1
855,1420.95,1420.96,1420.96,1421.13,1421.13,0,1
861,1421.13,1421.14,1421.14,1421.36,1421.36,0,1
868,1421.36,1421.37,1421.37,1421.55,1421.55,0,1
873,1421.55,1421.55,1421.55,1421.7,1421.7,0,1
878,1421.7,1421.71,1421.71,1421.88,1421.88,0,1
883,1421.88,1421.89,1421.89,1422.08,1422.08,0,1
889,1422.08,1422.09,1422.09,1422.27,1422.27,0,1
895,1422.27,1422.27,1422.27,1422.42,1422.42,0,1
899,1422.42,1422.42,1422.42,1422.59,1422.59,0,1
904,1422.59,1422.59,1422.59,1422.75,1422.75,0,1
909,1422.75,1422.76,1422.76,1422.93,1422.93,0,1
914,1422.93,1422.93,1422.93,1423.15,1423.15,0,1
921,1423.15,1423.15,1423.15,1423.32,1423.32,1423.32,1
926,1423.32,1423.34,1423.34,1423.64,1423.64,1423.64,1
936,1423.64,1423.65,1423.65,1423.82,1423.82,1423.82,1
941,1423.82,1423.83,1423.83,1423.98,1423.98,1423.98,1
946,1423.99,1424,1424,1424.23,1424.23,1424.23,1
953,1424.23,1424.23,1424.23,1424.41,1424.41,1424.41,1
959,1424.41,1424.42,1424.42,1424.59,1424.59,1424.59,1
964,1424.59,1424.61,1424.61,1424.79,1424.79,1424.79,1
970,1424.79,1424.79,1424.79,1424.95,1424.95,1424.95,1
975,1424.95,1424.96,1424.96,1425.14,1425.14,1425.14,1
981,1425.14,1425.14,1425.14,1425.32,1425.32,1425.32,1
986,1425.32,1425.35,1425.35,1425.53,1425.53,1425.53,1
993,1425.53,1425.54,1425.54,1425.81,1425.81,1425.81,1
1000,1425.81,1425.82,1425.82,1426,1426,1426,1
1007,1426,1426.01,1426.01,1426.18,1426.18,1426.18,1
1012,1426.18,1426.19,1426.19,1426.4,1426.4,1426.4,1
1018,1426.4,1426.41,1426.41,1426.62,1426.62,1426.62,1
1025,1426.62,1426.62,1426.62,1426.8,1426.8,1426.8,1
1031,1426.8,1426.81,1426.81,1426.97,1426.97,1426.97,1
1036,1426.97,1426.98,1426.98,1427.14,1427.14,1427.14,1
1041,1427.14,1427.14,1427.14,1427.3,1427.3,1427.3,1
1046,1427.3,1427.31,1427.31,1427.48,1427.48,0,1
1050,1427.48,1427.49,1427.49,1427.69,1427.69,1427.69,1
1058,1427.69,1427.7,1427.7,1428.03,1428.03,1428.03,1
1068,1428.03,1428.05,1428.05,1428.21,1428.22,0,1
1073,1428.22,1428.22,1428.22,1428.4,1428.4,1428.4,1
1079,1428.4,1428.41,1428.41,1428.64,1428.64,0,1
1086,1428.64,1428.65,1428.65,1428.82,1428.82,1428.82,1
1091,1428.82,1428.83,1428.83,1429.02,1429.02,1429.02,1
1097,1429.02,1429.02,1429.02,1429.19,1429.19,1429.19,1
1102,1429.19,1429.2,1429.2,1429.35,1429.35,0,1
1107,1429.35,1429.37,1429.37,1429.54,1429.54,0,1
1113,1429.54,1429.55,1429.55,1429.81,1429.81,1429.81,1
1121,1429.81,1429.82,1429.82,1430.06,1430.06,1430.06,1
1127,1430.06,1430.08,1430.08,1430.2,1430.2,1430.2,1
1130,1430.2,1430.21,1430.21,1430.39,1430.39,1430.39,1
1138,1430.39,1430.4,1430.4,1430.59,1430.59,1430.59,1
1144,1430.59,1430.6,1430.6,1430.8,1430.8,1430.8,1
1150,1430.8,1430.82,1430.82,1431,1431,1431,1
1157,1431,1431.02,1431.02,1431.16,1431.16,1431.16,1
1161,1431.16,1431.17,1431.17,1431.34,1431.35,1431.35,1
1166,1431.35,1431.35,1431.35,1431.51,1431.51,0,1
1171,1431.51,1431.51,1431.51,1431.69,1431.69,1431.69,1
1177,1431.69,1431.7,1431.7,1432.03,1432.03,1432.03,1
1184,1432.03,1432.04,1432.04,1432.27,1432.27,1432.27,1
1190,1432.27,1432.28,1432.28,1432.42,1432.42,1432.42,1
